입국자국가,국가코드,입국연월,입국자 수
미국,275,202301,49120
미국,275,202302,46204
미국,275,202303,86430
미국,275,202304,108818
미국,275,202305,101915
미국,275,202306,121378
미국,275,202307,104823
미국,275,202308,83250
미국,275,202309,96925
미국,275,202310,115763
미국,275,202311,93498
미국,275,202312,78291
미국,275,202401,61754
미국,275,202402,62607
미국,275,202403,119955
미국,275,202404,122728
미국,275,202405,122694
미국,275,202406,151721
미국,275,202407,120874
미국,275,202408,102057
미국,275,202409,109695
미국,275,202410,141152
미국,275,202411,108982
미국,275,202412,95889
미국,275,202501,74262
미국,275,202502,72445
미국,275,202503,132117
